<SIL>	SIL
ABSENCE	AE B S AH N S
ABSENCES	AE B S AH N S IH Z
ABSENT	AE B S AH N T
ABSENTED	AE B S AH N T IH D
ABSENTEE	AE B S AH N T IY
ABSENTING	AE B S AH N T IH NG
ABSENTLY	AE B S AH N T L IY
ABSINTHE	AE B S IH N TH
ABSOLUTE	AE B S AH L UW T
ABSOLUTELY	AE B S AH L UW T L IY
ABSOLUTION	AE B S AH L UW SH AH N
ABSOLUTISM	AE B S AH L UW T IH Z AH M
ABSOLVE	AH B Z AA L V
ABSOLVE(2)	AE B Z AA L V
ABSORB	AH B Z AO R B
ABSORBED	AH B Z AO R B D
ABSORBING	AH B Z AO R B IH NG
ABSORBINGLY	AH B Z AO R B IH NG L IY
ABSORBS	AH B Z AO R B Z
ABSORPTION	AH B Z AO R P SH AH N
ABSORPTION(2)	AH B S AO R P SH AH N
ABSTAIN	AH B S T EY N
ABSTAIN(2)	AE B S T EY N
ABSTAINED	AH B S T EY N D
ABSTAINED(2)	AE B S T EY N D
ABSTENTION	AH B S T EH N CH AH N
ABSTENTION(2)	AE B S T EH N CH AH N
ABSTINENCE	AE B S T AH N AH N S
ABSTRACT	AE B S T R AE K T
ABSTRACTED	AE B S T R AE K T IH D
ABSTRACTEDLY	AE B S T R AE K T AH D L IY
ABSTRACTION	AE B S T R AE K SH AH N
ABSTRACTLY	AE B S T R AE K T L IY
ABSURD	AH B S ER D
ABSURDISSIMUM	AE B S AH R D IH S AH M AH M
ABSURDITIES	AH B S ER D AH T IY Z
ABSURDITY	AH B S ER D AH T IY
ABSURDLY	AH B S ER D L IY
ABU	AE B UW
ABUNDANCE	AH B AH N D AH N S
ABUNDANT	AH B AH N D AH N T
ABUNDANTLY	AH B AH N D AH N T L IY
ABUSE	AH B Y UW S
ABUSE(2)	AH B Y UW Z
ABUSED	AH B Y UW Z D
ABUSES	AH B Y UW S IH Z
ABUSES(2)	AH B Y UW Z IH Z
ABUSING	AH B Y UW Z IH NG
ABUSIVE	AH B Y UW S IH V
ABYSMAL	AH B IH Z M AH L
ABYSS	AH B IH S
ABYSSES	AH B IH S IH Z
ACADEMICAL	AE K AH D EH M IH K AH L
ACADEMICIAN	AE K AH D AH M IH SH AH N
ACADEMIES	AH K AE D AH M IY Z
ACADEMY	AH K AE D AH M IY
ACCELERATING	AE K S EH L ER EY T IH NG
ACCELERATIVE	IH K S EH L AH R EY T IH V
ACCELERATOR	AE K S EH L ER EY T ER
ACCENT	AH K S EH N T
ACCENT(2)	AE K S EH N T
ACCENTED	AE K S EH N T IH D
ACCENTING	AE K S EH N T IH NG
ACCENTS	AE K S EH N T S
ACCENTUATED	AE K S EH N CH UW EY T IH D
ACCENTUATION	AE K S EH N CH AH W EY SH AH N
ACCEPT	AE K S EH P T
ACCEPT(2)	AH K S EH P T
ACCEPTABLE	AE K S EH P T AH B AH L
ACCEPTABLE(2)	AH K S EH P T AH B AH L
ACCEPTANCE	AE K S EH P T AH N S
ACCEPTANCE(2)	AH K S EH P T AH N S
ACCEPTANCES	AE K S EH P T AH N S IH Z
ACCEPTATION	AE K S EH P T EY SH AH N
ACCEPTED	AE K S EH P T IH D
ACCEPTING	AE K S EH P T IH NG
ACCEPTING(2)	AH K S EH P T IH NG
ACCEPTS	AE K S EH P T S
ACCESS	AE K S EH S
ACCESSIBLE	AE K S EH S AH B AH L
ACCESSION	AH K S EH SH AH N
ACCIDENT	AE K S AH D AH N T
ACCIDENTAL	AE K S AH D EH N T AH L
ACCIDENTAL(2)	AE K S AH D EH N AH L
ACCIDENTALLY	AE K S AH D EH N T AH L IY
ACCIDENTALLY(2)	AE K S AH D EH N AH L IY
ACCIDENTS	AE K S AH D AH N T S
ACCLAIMED	AH K L EY M D
ACCLAMATION	AE K L AH M EY SH AH N
ACCLAMATIONS	AE K L AH M EY SH AH N Z
ACCLIVITIES	AE K L IH V AH T AY Z
ACCOMMODATE	AH K AA M AH D EY T
ACCOMMODATED	AH K AA M AH D EY T AH D
ACCOMMODATES	AH K AA M AH D EY T S
ACCOMMODATING	AH K AA M AH D EY T IH NG
ACCOMMODATION	AH K AA M AH D EY SH AH N
ACCOMMODATIONS	AH K AA M AH D EY SH AH N Z
ACCOMPANIED	AH K AH M P AH N IY D
ACCOMPANIES	AH K AH M P AH N IY Z
ACCOMPANIMENT	AH K AH M P N IH M AH N T
ACCOMPANIMENT(2)	AH K AH M P N IY M AH N T
ACCOMPANIMENTS	AH K AH M P N IH M AH N T S
ACCOMPANIMENTS(2)	AH K AH M P N IY M AH N T S
ACCOMPANY	AH K AH M P AH N IY
ACCOMPANYING	AH K AH M P AH N IY IH NG
ACCOMPLI	AA K AA M P L IY
ACCOMPLI(2)	AH K AA M P L IY
ACCOMPLICE	AH K AA M P L AH S
ACCOMPLICES	AH K AA M P L AH S AH Z
ACCOMPLISH	AH K AA M P L IH SH
ACCOMPLISHED	AH K AA M P L IH SH T
ACCOMPLISHING	AH K AA M P L IH SH IH NG
ACCOMPLISHMENT	AH K AA M P L IH SH M AH N T
ACCOMPLISHMENTS	AH K AA M P L IH SH M AH N T S
ACCORD	AH K AO R D
ACCORDANCE	AH K AO R D AH N S
ACCORDED	AH K AO R D IH D
ACCORDING	AH K AO R D IH NG
ACCORDINGLY	AH K AO R D IH NG L IY
ACCORDION	AH K AO R D IY AH N
ACCOST	AH K AO S T
ACCOSTED	AH K AA S T AH D
ACCOSTING	AH K AA S T IH NG
ACCOSTS	AH K AO S T S
ACCOUNT	AH K AW N T
ACCOUNTABLE	AH K AW N T AH B AH L
ACCOUNTANT	AH K AW N T AH N T
ACCOUNTED	AH K AW N T IH D
ACCOUNTIN	AH K AW N T IH N
ACCOUNTING	AH K AW N T IH NG
ACCOUNTING(2)	AH K AW N IH NG
ACCOUNTS	AH K AW N T S
ACCOUTRED	AE K AW T AH R D
ACCOUTREMENTS	AH K UW T ER M AH N T S
ACCREDITED	AH K R EH D IH T IH D
ACCREDITS	AH K R EH D AH T S
ACCRETIONS	AH K R IY SH AH N Z
ACCRUE	AH K R UW
ACCUMULATE	AH K Y UW M Y AH L EY T
ACCUMULATED	AH K Y UW M Y AH L EY T IH D
ACCUMULATING	AH K Y UW M Y AH L EY T IH NG
ACCUMULATION	AH K Y UW M Y AH L EY SH AH N
ACCUMULATIONS	AH K Y UW M Y AH L EY SH AH N Z
ACCURACY	AE K Y ER AH S IY
ACCURATE	AE K Y ER AH T
ACCURATELY	AE K Y ER AH T L IY
ACCURSED	AE K Y AH R Z D
ACCUSATION	AE K Y AH Z EY SH AH N
ACCUSATION(2)	AE K Y UW Z EY SH AH N
ACCUSATIONS	AE K Y AH Z EY SH AH N Z
ACCUSATIONS(2)	AE K Y UW Z EY SH AH N Z
ACCUSE	AH K Y UW Z
ACCUSED	AH K Y UW Z D
ACCUSER	AH K Y UW Z ER
ACCUSERS	AH K Y UW Z ER Z
ACCUSES	AH K Y UW Z IH Z
ACCUSING	AH K Y UW Z IH NG
ACCUSTOM	AH K AH S T AH M
ACCUSTOMED	AH K AH S T AH M D
ACE	EY S
ACEPHALA	AH S EH F AH L AH
ACERBITIES	EY S ER B IY AH T IY Z
ACES	EY S IH Z
ACHE	EY K
ACHED	EY K T
ACHES	EY K S
ACHIEVE	AH CH IY V
ACHIEVED	AH CH IY V D
ACHIEVEMENT	AH CH IY V M AH N T
ACHIEVEMENTS	AH CH IY V M AH N T S
ACHIEVING	AH CH IY V IH NG
ACHILLES	AH K IH L IY Z
ACHING	EY K IH NG
ACHIOR	EY K IY ER
ACID	AE S AH D
ACIDS	AE S AH D Z
ACIDULATED	AH S IH D Y AH L EY T AH D
ACKNOWLEDG'D	AE K N OW L AH JH D
ACKNOWLEDGE	AE K N AA L IH JH
ACKNOWLEDGED	AE K N AA L IH JH D
ACKNOWLEDGEMENT	AE K N AA L IH JH M AH N T
ACKNOWLEDGING	AE K N AA L IH JH IH NG
ACKNOWLEDGMENT	AE K N AA L IH JH M AH N T
ACKNOWLEDGMENTS	AE K N AA L IH JH M AH N T S
ACME	AE K M IY
ACONE	AH K OW N
ACORN	EY K AO R N
ACORNS	EY K AO R N Z
ACQUAINT	AH K W EY N T
ACQUAINTANCE	AH K W EY N T AH N S
ACQUAINTANCES	AH K W EY N T AH N S IH Z
ACQUAINTANCESHIP	AH K W EY N T AH N S SH IH P
ACQUAINTED	AH K W EY N T IH D
ACQUAINTED(2)	AH K W EY N IH D
ACQUAINTING	AH K W EY N T IH NG
ACQUASPARTA	AE K W AH S AA R T AH
ACQUIESCE	AE K W IY EH S
ACQUIESCED	AE K W IY EH S T
ACQUIESCENCE	AE K W IY EH S AH N S
ACQUIESCING	AE K W IY EH S IH NG
ACQUIR'D	AE K W AH R D
ACQUIRE	AH K W AY ER
ACQUIRED	AH K W AY ER D
ACQUIREMENT	AH K W AY ER M AH N T
ACQUIRES	AH K W AY ER Z
ACQUIRING	AH K W AY R IH NG
ACQUIRING(2)	AH K W AY ER IH NG
ACQUISITION	AE K W AH Z IH SH AH N
ACQUISITIONS	AE K W AH Z IH SH AH N Z
ACQUITTAL	AH K W IH T AH L
ACQUITTED	AH K W IH T IH D
ACRE	EY K ER
ACRES	EY K ER Z
ACRID	AE K R IH D
ACRIMONY	AE K R IH M OW N IY
ACROBAT	AE K R AH B AE T
ACROBATIC	AE K R AH B AE T IH K
ACROPOLIS	AH K R AA P AH L AH S
ACROSS	AH K R AO S
ACROSTICS	AE K R AA S T AH S Z
ACT	AE K T
ACTE	AE K T
ACTED	AE K T IH D
ACTING	AE K T IH NG
ACTION	AE K SH AH N
ACTIONS	AE K SH AH N Z
ACTIVATED	AE K T IH V EY T IH D
ACTIVE	AE K T IH V
ACTIVELY	AE K T IH V L IY
ACTIVITIES	AE K T IH V IH T IY Z
ACTIVITY	AE K T IH V IH T IY
ACTOR	AE K T ER
ACTORS	AE K T ER Z
ACTRESS	AE K T R AH S
ACTRESSES	AE K T R AH S IH Z
ACTS	AE K T S
ACTS(2)	AE K S
ACTUAL	AE K CH AH W AH L
ACTUAL(2)	AE K SH AH L
ACTUALITY	AE K CH UW AE L AH T IY
ACTUALLY	AE K CH UW AH L IY
ACTUALLY(2)	AE K CH L IY
ACTUALLY(3)	AE K SH AH L IY
ACTUATED	AE K CH AH W EY T IH D
ACUMEN	AH K Y UW M AH N
ACUPUNCTURE	AE K Y UW P AH NG K CH ER
ACUTE	AH K Y UW T
ACUTELY	AH K Y UW T L IY
ACUTENESS	AH K Y UW T N AH S
ACUTEST	AH K Y UW T AH S T
ACY	EY S IY
AD	AE D
ADAD	AH D AE D
ADAGE	AE D AH JH
ADAM	AE D AH M
ADAM'S	AE D AH M Z
ADAMANTINE	AH D AE M AH N T AY N
ADAMITE	AE D AH M AY T
ADAMS	AE D AH M Z
ADAPT	AH D AE P T
ADAPTABILITY	AH D AE P T AH B IH L AH T IY
ADAPTABLE	AH D AE P T AH B AH L
ADAPTATION	AE D AH P T EY SH AH N
ADAPTED	AH D AE P T IH D
ADAPTING	AH D AE P T IH NG
ADD	AE D
ADDED	AE D IH D
ADDER	AE D ER
ADDERS	AE D ER Z
ADDICEHEAD	AE D AY S HH EH D
ADDICTED	AH D IH K T IH D
ADDING	AE D IH NG
ADDISON	AE D IH S AH N
ADDITION	AH D IH SH AH N
ADDITIONAL	AH D IH SH AH N AH L
ADDITIONS	AH D IH SH AH N Z
ADDLE	AE D AH L
ADDLED	AE D AH L D
ADDLEPATED	AE D L AH P EY T AH D
ADDRESS	AE D R EH S
ADDRESSED	AH D R EH S T
ADDRESSER	AH D R EH S ER
ADDRESSES	AE D R EH S IH Z
ADDRESSING	AE D R EH S IH NG
ADDS	AE D Z
ADELA	AH D EH L AH
ADELAIDE	AE D AH L EY D
ADEPT	AH D EH P T
ADEQUATE	AE D AH K W AH T
ADEQUATE(2)	AE D AH K W EY T
ADEQUATELY	AE D AH K W IH T L IY
ADHERE	AH D HH IH R
ADHERED	AE D HH IH R D
ADHERENCE	AH D HH IH R AH N S
ADHERENTS	AE D HH IH R AH N T S
ADHERING	AH D HH IH R IH NG
ADHESIONS	AE D HH IY ZH AH N Z
ADHESIVE	AE D HH IY S IH V
ADHESIVE(2)	AH D HH IY S IH V
ADIEU	AH D UW
ADIEUS	AH D Y UW Z
ADIEUX	EY D Y UW K S
ADINI	AE D AH N IY
ADJACENT	AH JH EY S AH N T
ADJECTIVE	AE JH IH K T IH V
ADJECTIVES	AE JH IH K T IH V Z
ADJOINING	AH JH OY N IH NG
ADJOURNED	AH JH ER N D
ADJOURNMENT	AH JH ER N M AH N T
ADJUNCT	AE JH AH NG K T
ADJURATION	AE JH Y AH R EY SH AH N
ADJURE	AE JH Y AH R
ADJURED	AE JH Y AH R D
ADJUST	AH JH AH S T
ADJUSTED	AH JH AH S T IH D
ADJUSTING	AH JH AH S T IH NG
ADJUSTMENT	AH JH AH S T M AH N T
ADJUSTMENTS	AH JH AH S T M AH N T S
ADJUTANT	AE JH AH T AH N T
ADJUTANT'S	AE JH AH T AH N TS
ADMETUS	AE D M AH T AH S
ADMINISTER	AH D M IH N IH S T ER
ADMINISTERED	AH D M IH N IH S T ER D
ADMINISTERING	AE D M IH N IH S T ER IH NG
ADMINISTRATION	AE D M IH N IH S T R EY SH AH N
ADMINISTRATION'S	AE D M IH N IH S T R EY SH AH N Z
ADMINISTRATIVE	AH D M IH N IH S T R EY T IH V
ADMIRABLE	AE D M ER AH B AH L
ADMIRABLE(2)	AE D M R AH B AH L
ADMIRABLY	AE D M ER AH B L IY
ADMIRAL	AE D M ER AH L
ADMIRALS	AE D M ER AH L Z
ADMIRALTIES	AE D M AH R AH L T IY Z
ADMIRALTY	AE D M ER AH L T IY
ADMIRARI	AE D M IH R AH R IY
ADMIRATION	AE D M ER EY SH AH N
ADMIRATIONS	AE D M ER EY SH AH N Z
ADMIRE	AE D M AY R
ADMIRED	AH D M AY ER D
ADMIRER	AE D M AY R ER
ADMIRERS	AH D M AY R ER Z
ADMIRES	AE D M AY R Z
ADMIRING	AE D M AY R IH NG
ADMIRINGLY	AE D M AY R IH NG L IY
ADMISSIBLE	AH D M IH S AH B AH L
ADMISSION	AE D M IH SH AH N
ADMISSION(2)	AH D M IH SH AH N
ADMIT	AH D M IH T
ADMITS	AH D M IH T S
ADMITTANCE	AH D M IH T AH N S
ADMITTED	AH D M IH T AH D
ADMITTEDLY	AE D M IH T IH D L IY
ADMITTING	AE D M IH T IH NG
ADMITTING(2)	AH D M IH T IH NG
ADMIXTURE	AE D M IH K S T Y AH R
ADMONISH	AE D M AA N IH SH
ADMONISHED	AH D M AA N IH SH T
ADMONISHING	AE D M AA N IH SH IH NG
ADMONITION	AE D M AH N IH SH AH N
ADMONITIONS	AE D M AH N IH SH AH N Z
ADO	AH D UW
ADOBE	AH D OW B IY
ADOBES	AH D OW B IY Z
ADOLESCENCE	AE D AH L EH S AH N S
ADOLESCENCE(2)	AE D OW L EH S AH N S
ADOLPHUS	AH D AO L F AH S
ADOPT	AH D AA P T
ADOPTED	AH D AA P T AH D
ADOPTING	AH D AA P T IH NG
ADOPTION	AH D AA P SH AH N
ADOPTS	AH D AA P T S
ADORABLE	AH D AO R AH B AH L
ADORATION	AE D ER EY SH AH N
ADORE	AH D AO R
ADORED	AH D AO R D
ADORES	AH D AO R Z
ADORING	AH D AO R IH NG
ADORN	AH D AO R N
ADORNED	AH D AO R N D
ADORNING	AH D AO R N IH NG
ADORNMENT	AH D AO R N M AH N T
ADRAMMYTIUM	AE D R AH M IH T IY AH M
ADRIAN	EY D R IY AH N
ADRIFT	AH D R IH F T
ADROIT	AH D R OY T
ADROITNESS	AH D R OY T N AH S
ADS	AE D Z
ADULATOR	AE D Y AH L EY T AH R
ADULT	AH D AH L T
ADULT(2)	AE D AH L T
ADULTERATE	AH D AH L T ER EY T
ADULTERATED	AH D AH L T ER EY T IH D
ADULTEROUS	AH D AH L T ER AH S
ADULTS	AH D AH L T S
ADULTS(2)	AE D AH L T S
ADVANC'D	AE D AH NG K D
ADVANCE	AH D V AE N S
ADVANCED	AH D V AE N S T
ADVANCEMENT	AH D V AE N S M AH N T
ADVANCES	AH D V AE N S IH Z
ADVANCING	AH D V AE N S IH NG
ADVANTAGE	AE D V AE N T IH JH
ADVANTAGEOUS	AE D V AH N T EY JH AH S
ADVANTAGES	AE D V AE N T IH JH IH Z
ADVENT	AE D V EH N T
ADVENTITIOUS	AE D V AH N T IH SH AH S
ADVENTURE	AE D V EH N CH ER
ADVENTURE(2)	AH D V EH N CH ER
ADVENTURER	AE D V EH N CH ER ER
ADVENTURER(2)	AH D V EH N CH ER ER
ADVENTURERS	AE D V EH N CH ER ER Z
ADVENTURERS(2)	AH D V EH N CH ER ER Z
ADVENTURES	AE D V EH N CH ER Z
ADVENTURESS	AH D V EH N CH ER AH S
ADVENTURESSES	AH D V EH N CH ER AH S IH Z
ADVENTURING	AH D V EH N CH ER IH NG
ADVENTUROUS	AE D V EH N CH ER AH S
ADVERSARIES	AE D V ER S EH R IY Z
ADVERSARY	AE D V ER S EH R IY
ADVERSARY'S	AE D V ER S EH R IY Z
ADVERSE	AE D V ER S
ADVERSELY	AE D V ER S L IY
ADVERSITY	AE D V ER S IH T IY
ADVERTISE	AE D V ER T AY Z
ADVERTISED	AE D V ER T AY Z D
ADVERTISEMENT	AE D V ER T AH Z M AH N T
ADVERTISEMENT(2)	AE D V ER T AY Z M AH N T
ADVERTISEMENTS	AE D V ER T AY Z M AH N T S
ADVERTISER	AE D V ER T AY Z ER
ADVERTISERS	AE D V ER T AY Z ER Z
ADVERTISING	AE D V ER T AY Z IH NG
ADVICE	AE D V AY S
ADVICE(2)	AH D V AY S
ADVISABLE	AH D V AY Z AH B AH L
ADVISE	AE D V AY Z
ADVISE(2)	AH D V AY Z
ADVISED	AE D V AY Z D
ADVISED(2)	AH D V AY Z D
ADVISEDLY	AE D V AY Z AH D L IY
ADVISEDLY(2)	AH D V AY Z AH D L IY
ADVISEMENT	AH D V AY Z M AH N T
ADVISER	AE D V AY Z ER
ADVISERS	AE D V AY Z ER Z
ADVISES	AE D V AY Z IH Z
ADVISING	AE D V AY Z IH NG
ADVOCACY	AE D V AH K AH S IY
ADVOCATE	AE D V AH K AH T
ADVOCATE(2)	AE D V AH K EY T
ADVOCATED	AE D V AH K EY T IH D
ADVOCATES	AE D V AH K AH T S
ADVOCATES(2)	AE D V AH K EY T S
ADZUMA	AE D Z UW M AH
AEDIFICATUM	EH D AH F IH K AH T AH M
AEGINA	EH JH AH N AH
AEOLIAN	EH OW L IY AH N
AERA	AH IH R AH
AERIAL	EH R IY AH L
AERONAUTICAL	EH R OW N AA T AH K AH L
AERONAUTICAL(2)	EH R AH N AA T AH K AH L
AEROPLANE	EH R AH P L EY N
AEROPLANES	EH R AH P L EY N Z
AESCULAPIUS	EH S Y AH L AE P AY AH S
AESTHETIC	EH S TH EH T IH K
AESTHETICALLY	EH S TH EH T IH K L IY
AETEOLOGIZED	AH T IY AA L AH JH AY Z D
AETIUS	EH T AY AH S
AFAR	AH F AA R
AFEAR'D	AH F IH ER D
AFECKSIONATE	AH F EH K S IY AH N EY T
AFFABILITY	AE F AH B IH L AH T EH
AFFABLE	AE F AH B AH L
AFFABLY	AE F AH B L IY
AFFAIR	AH F EH R
AFFAIRS	AH F EH R Z
AFFECT	AH F EH K T
AFFECTATION	AE F EH K T EY SH AH N
AFFECTED	AH F EH K T IH D
AFFECTING	AH F EH K T IH NG
AFFECTION	AH F EH K SH AH N
AFFECTIONAL	AH F EH K SH AH N AH L
AFFECTIONATE	AH F EH K SH AH N AH T
AFFECTIONATELY	AH F EH K SH AH N AH T L IY
AFFECTIONATENESS	AH F EH K SH AH N AH T N AH S
AFFECTIONES	AE F EH K T IY OW N Z
AFFECTIONS	AH F EH K SH AH N Z
AFFECTIVE	AH F EH K T IH V
AFFECTS	AH F EH K T S
AFFETTATORE	AE F EH T AH T AH R
AFFIDAVIT	AE F AH D EY V AH T
AFFINITIES	AH F IH N AH T IY Z
AFFINITY	AH F IH N IH T IY
AFFIRM	AH F ER M
AFFIRMATION	AE F ER M EY SH AH N
AFFIRMATIVE	AH F ER M AH T IH V
AFFIRMATIVELY	AH F ER M AH T IH V L IY
AFFIRMATORY	AH F ER M AH T OW R IY
AFFIRMED	AH F ER M D
AFFIRMS	AH F ER M Z
AFFIXED	AH F IH K S T
AFFLICT	AH F L IH K T
AFFLICTED	AH F L IH K T IH D
AFFLICTING	AH F L IH K T IH NG
AFFLICTION	AH F L IH K SH AH N
AFFLICTIONS	AH F L IH K SH AH N Z
AFFLICTS	AH F L IH K T S
AFFLUENCE	AE F L UW AH N S
AFFLUENT	AE F L UW AH N T
AFFLUX	AE F L AH K S
AFFORD	AH F AO R D
AFFORDED	AH F AO R D AH D
AFFORDING	AH F AO R D IH NG
AFFORDS	AH F AO R D Z
AFFRIGHT	AE F R AY T
AFFRIGHTED	AE F R AY T AH D
AFFRONT	AH F R AH N T
AFFRONTED	AH F R AH N T IH D
AFGHAN	AE F G AE N
AFIRE	AH F AY R
AFLAME	AH F L EY M
AFLOAT	AH F L OW T
AFOOT	AH F UH T
AFORE	AH F OW R
AFORESAID	AH F AO R S EH D
AFRAID	AH F R EY D
AFRESH	AH F R EH SH
AFRIC'S	AE F R AH S Z
AFRICA	AE F R IH K AA
AFRICAN	AE F R IH K AA N
AFRICANS	AE F R IH K AH N Z
AFRIKANDER	AE F R AH K AE N D AH R
AFRITES	AE F R AY T S
AFT	AE F T
AFTAH	AE F T AH
AFTER	AE F T ER
AFTERDECK	AE F T ER D EH K
AFTERGLOW	AE F T ER G L OW
AFTERMATH	AE F T ER M AE TH
AFTERMATHS	AE F T ER M AE TH S
AFTERNOON	AE F T ER N UW N
AFTERNOON'S	AE F T ER N UW N Z
AFTERNOONS	AE F T ER N UW N Z
AFTERTHOUGHT	AE F T ER TH AA T
AFTERTHOUGHT(2)	AE F T ER TH AO T
AFTERWARD	AE F T ER W ER D
AFTERWARDS	AE F T ER W ER D Z
AFTHER	AE F DH AH R
AFY	EY F IY
AFY'S	AE F AH Z
AGAIN	AH G EH N
AGAIN(2)	AH G EY N
AGAINST	AH G EH N S T
AGAINST(2)	AH G EY N S T
AGAMEMNON	AE G AH M EH M N AA N
AGAMENTICUS	AE G AH M EH N T IH S AH S
AGATHA	AE G AH TH AH
AGE	EY JH
AGED	EY JH D
AGED(2)	EY JH IH D
AGEETUK	EY JH IY T AH K
AGENCIES	EY JH AH N S IY Z
AGENCY	EY JH AH N S IY
AGENT	EY JH AH N T
AGENT'S	EY JH AH N T S
AGENTS	EY JH AH N T S
AGERS	EY JH ER Z
AGES	EY JH IH Z
AGGRAVATED	AE G R AH V EY T IH D
AGGRAVATION	AE G R AH V EY SH AH N
AGGREGATE	AE G R AH G AH T
AGGREGATE(2)	AE G R AH G EY T
AGGREGATED	AE G R AH G EY T AH D
AGGREGATION	AE G R AH G EY SH AH N
AGGRESSIVE	AH G R EH S IH V
AGGRESSIVELY	AH G R EH S IH V L IY
AGGRESSIVENESS	AH G R EH S IH V N AH S
AGGRESSORS	AH G R EH S ER Z
AGGRIEVED	AH G R IY V D
AGHAST	AH G AE S T
AGILE	AE JH AH L
AGILITY	AH JH IH L AH T IY
AGINCOURT	AE JH AH N K AO R T
AGINT	AE JH AH N T
AGITATE	AE JH AH T EY T
AGITATED	AE JH AH T EY T AH D
AGITATION	AE JH AH T EY SH AH N
AGITATORS	AE JH IH T EY T ER Z
AGLOW	AH G L OW
AGNES	AE G N IH S
AGNOSTIC	AE G N AA S T IH K
AGO	AH G OW
AGONIES	AE G AH N IY Z
AGONISING	AE G AH N IY Z IH NG
AGONIZED	AE G AH N AY Z D
AGONIZING	AE G AH N AY Z IH NG
AGONY	AE G AH N IY
AGOSTINO	AA G AO S T IY N OW
AGREE	AH G R IY
AGREEABLE	AH G R IY AH B AH L
