<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
ABOLITION	1.0	AE B AH L IH SH AH N
ABOLITIONIST	1.0	AE B AH L IH SH AH N AH S T
ABOLITIONISTS	1.0	AE B AH L IH SH AH N AH S T S
ABOLITIONISTS(2)	1.0	AE B AH L IH SH AH N AH S
ABOMINABLE	1.0	AH B AA M AH N AH B AH L
ABOMINABLY	1.0	AE B AH M AH N AH B L IY
ABOMINATION	1.0	AH B AA M AH N EY SH AH N
ABOOT	1.0	AH B UW T
ABORIGINAL	1.0	AE B ER IH JH AH N AH L
ABORIGINALLY	1.0	AE B AH R IH JH AH N AH L IY
ABORIGINES	1.0	AE B ER IH JH AH N IY Z
ABORTIVE	1.0	AH B AO R T IH V
ABOU	1.0	AH B UW
ABOUND	1.0	AH B AW N D
ABOUNDED	1.0	AH B AW N D IH D
ABOUNDING	1.0	AH B AW N D IH NG
ABOUT	1.0	AH B AW T
ABOVE	1.0	AH B AH V
ABOVEMENTION'D	1.0	AH B AH V M AH N CH AH N D
ABRAHAM	1.0	EY B R AH HH AE M
ABRASION	1.0	AH B R EY ZH AH N
ABRASIONS	1.0	AH B R EY ZH AH N Z
ABREAST	1.0	AH B R EH S T
ABREK	1.0	AE B R AH K
ABREKS	1.0	AE B R AH K S
ABRIDGED	1.0	AH B R IH JH D
ABROAD	1.0	AH B R AO D
ABRONIA	1.0	AE B R OW N Y AH
ABRUPT	1.0	AH B R AH P T
ABRUPTLY	1.0	AH B R AH P T L IY
ABSALOM	1.0	AE B S AH L AH M
ABSALOMED	1.0	AE B S AH L OW M D
ABSCESSES	1.0	AE B S EH S IH Z
ABSENCE	1.0	AE B S AH N S
ABSENCES	1.0	AE B S AH N S IH Z
ABSENT	1.0	AE B S AH N T
ABSENTED	1.0	AE B S AH N T IH D
ABSENTEE	1.0	AE B S AH N T IY
ABSENTING	1.0	AE B S AH N T IH NG
ABSENTLY	1.0	AE B S AH N T L IY
ABSINTHE	1.0	AE B S IH N TH
ABSOLUTE	1.0	AE B S AH L UW T
ABSOLUTELY	1.0	AE B S AH L UW T L IY
ABSOLUTION	1.0	AE B S AH L UW SH AH N
ABSOLUTISM	1.0	AE B S AH L UW T IH Z AH M
ABSOLVE	1.0	AH B Z AA L V
ABSOLVE(2)	1.0	AE B Z AA L V
ABSORB	1.0	AH B Z AO R B
ABSORBED	1.0	AH B Z AO R B D
ABSORBING	1.0	AH B Z AO R B IH NG
ABSORBINGLY	1.0	AH B Z AO R B IH NG L IY
ABSORBS	1.0	AH B Z AO R B Z
ABSORPTION	1.0	AH B Z AO R P SH AH N
ABSORPTION(2)	1.0	AH B S AO R P SH AH N
ABSTAIN	1.0	AH B S T EY N
ABSTAIN(2)	1.0	AE B S T EY N
ABSTAINED	1.0	AH B S T EY N D
ABSTAINED(2)	1.0	AE B S T EY N D
ABSTENTION	1.0	AH B S T EH N CH AH N
ABSTENTION(2)	1.0	AE B S T EH N CH AH N
ABSTINENCE	1.0	AE B S T AH N AH N S
ABSTRACT	1.0	AE B S T R AE K T
ABSTRACTED	1.0	AE B S T R AE K T IH D
ABSTRACTEDLY	1.0	AE B S T R AE K T AH D L IY
ABSTRACTION	1.0	AE B S T R AE K SH AH N
ABSTRACTLY	1.0	AE B S T R AE K T L IY
ABSURD	1.0	AH B S ER D
ABSURDISSIMUM	1.0	AE B S AH R D IH S AH M AH M
ABSURDITIES	1.0	AH B S ER D AH T IY Z
ABSURDITY	1.0	AH B S ER D AH T IY
ABSURDLY	1.0	AH B S ER D L IY
ABU	1.0	AE B UW
ABUNDANCE	1.0	AH B AH N D AH N S
ABUNDANT	1.0	AH B AH N D AH N T
ABUNDANTLY	1.0	AH B AH N D AH N T L IY
ABUSE	1.0	AH B Y UW S
ABUSE(2)	1.0	AH B Y UW Z
ABUSED	1.0	AH B Y UW Z D
ABUSES	1.0	AH B Y UW S IH Z
ABUSES(2)	1.0	AH B Y UW Z IH Z
ABUSING	1.0	AH B Y UW Z IH NG
ABUSIVE	1.0	AH B Y UW S IH V
ABYSMAL	1.0	AH B IH Z M AH L
ABYSS	1.0	AH B IH S
ABYSSES	1.0	AH B IH S IH Z
ACADEMICAL	1.0	AE K AH D EH M IH K AH L
ACADEMICIAN	1.0	AE K AH D AH M IH SH AH N
ACADEMIES	1.0	AH K AE D AH M IY Z
ACADEMY	1.0	AH K AE D AH M IY
ACCELERATING	1.0	AE K S EH L ER EY T IH NG
ACCELERATIVE	1.0	IH K S EH L AH R EY T IH V
ACCELERATOR	1.0	AE K S EH L ER EY T ER
ACCENT	1.0	AH K S EH N T
ACCENT(2)	1.0	AE K S EH N T
ACCENTED	1.0	AE K S EH N T IH D
ACCENTING	1.0	AE K S EH N T IH NG
ACCENTS	1.0	AE K S EH N T S
ACCENTUATED	1.0	AE K S EH N CH UW EY T IH D
ACCENTUATION	1.0	AE K S EH N CH AH W EY SH AH N
ACCEPT	1.0	AE K S EH P T
ACCEPT(2)	1.0	AH K S EH P T
ACCEPTABLE	1.0	AE K S EH P T AH B AH L
ACCEPTABLE(2)	1.0	AH K S EH P T AH B AH L
ACCEPTANCE	1.0	AE K S EH P T AH N S
ACCEPTANCE(2)	1.0	AH K S EH P T AH N S
ACCEPTANCES	1.0	AE K S EH P T AH N S IH Z
ACCEPTATION	1.0	AE K S EH P T EY SH AH N
ACCEPTED	1.0	AE K S EH P T IH D
ACCEPTING	1.0	AE K S EH P T IH NG
ACCEPTING(2)	1.0	AH K S EH P T IH NG
ACCEPTS	1.0	AE K S EH P T S
ACCESS	1.0	AE K S EH S
ACCESSIBLE	1.0	AE K S EH S AH B AH L
ACCESSION	1.0	AH K S EH SH AH N
ACCIDENT	1.0	AE K S AH D AH N T
ACCIDENTAL	1.0	AE K S AH D EH N T AH L
ACCIDENTAL(2)	1.0	AE K S AH D EH N AH L
ACCIDENTALLY	1.0	AE K S AH D EH N T AH L IY
ACCIDENTALLY(2)	1.0	AE K S AH D EH N AH L IY
ACCIDENTS	1.0	AE K S AH D AH N T S
ACCLAIMED	1.0	AH K L EY M D
ACCLAMATION	1.0	AE K L AH M EY SH AH N
ACCLAMATIONS	1.0	AE K L AH M EY SH AH N Z
ACCLIVITIES	1.0	AE K L IH V AH T AY Z
ACCOMMODATE	1.0	AH K AA M AH D EY T
ACCOMMODATED	1.0	AH K AA M AH D EY T AH D
ACCOMMODATES	1.0	AH K AA M AH D EY T S
ACCOMMODATING	1.0	AH K AA M AH D EY T IH NG
ACCOMMODATION	1.0	AH K AA M AH D EY SH AH N
ACCOMMODATIONS	1.0	AH K AA M AH D EY SH AH N Z
ACCOMPANIED	1.0	AH K AH M P AH N IY D
ACCOMPANIES	1.0	AH K AH M P AH N IY Z
ACCOMPANIMENT	1.0	AH K AH M P N IH M AH N T
ACCOMPANIMENT(2)	1.0	AH K AH M P N IY M AH N T
ACCOMPANIMENTS	1.0	AH K AH M P N IH M AH N T S
ACCOMPANIMENTS(2)	1.0	AH K AH M P N IY M AH N T S
ACCOMPANY	1.0	AH K AH M P AH N IY
ACCOMPANYING	1.0	AH K AH M P AH N IY IH NG
ACCOMPLI	1.0	AA K AA M P L IY
ACCOMPLI(2)	1.0	AH K AA M P L IY
ACCOMPLICE	1.0	AH K AA M P L AH S
ACCOMPLICES	1.0	AH K AA M P L AH S AH Z
ACCOMPLISH	1.0	AH K AA M P L IH SH
ACCOMPLISHED	1.0	AH K AA M P L IH SH T
ACCOMPLISHING	1.0	AH K AA M P L IH SH IH NG
ACCOMPLISHMENT	1.0	AH K AA M P L IH SH M AH N T
ACCOMPLISHMENTS	1.0	AH K AA M P L IH SH M AH N T S
ACCORD	1.0	AH K AO R D
ACCORDANCE	1.0	AH K AO R D AH N S
ACCORDED	1.0	AH K AO R D IH D
ACCORDING	1.0	AH K AO R D IH NG
ACCORDINGLY	1.0	AH K AO R D IH NG L IY
ACCORDION	1.0	AH K AO R D IY AH N
ACCOST	1.0	AH K AO S T
ACCOSTED	1.0	AH K AA S T AH D
ACCOSTING	1.0	AH K AA S T IH NG
ACCOSTS	1.0	AH K AO S T S
ACCOUNT	1.0	AH K AW N T
ACCOUNTABLE	1.0	AH K AW N T AH B AH L
ACCOUNTANT	1.0	AH K AW N T AH N T
ACCOUNTED	1.0	AH K AW N T IH D
ACCOUNTIN	1.0	AH K AW N T IH N
ACCOUNTING	1.0	AH K AW N T IH NG
ACCOUNTING(2)	1.0	AH K AW N IH NG
ACCOUNTS	1.0	AH K AW N T S
ACCOUTRED	1.0	AE K AW T AH R D
ACCOUTREMENTS	1.0	AH K UW T ER M AH N T S
ACCREDITED	1.0	AH K R EH D IH T IH D
ACCREDITS	1.0	AH K R EH D AH T S
ACCRETIONS	1.0	AH K R IY SH AH N Z
ACCRUE	1.0	AH K R UW
ACCUMULATE	1.0	AH K Y UW M Y AH L EY T
ACCUMULATED	1.0	AH K Y UW M Y AH L EY T IH D
ACCUMULATING	1.0	AH K Y UW M Y AH L EY T IH NG
ACCUMULATION	1.0	AH K Y UW M Y AH L EY SH AH N
ACCUMULATIONS	1.0	AH K Y UW M Y AH L EY SH AH N Z
ACCURACY	1.0	AE K Y ER AH S IY
ACCURATE	1.0	AE K Y ER AH T
ACCURATELY	1.0	AE K Y ER AH T L IY
ACCURSED	1.0	AE K Y AH R Z D
ACCUSATION	1.0	AE K Y AH Z EY SH AH N
ACCUSATION(2)	1.0	AE K Y UW Z EY SH AH N
ACCUSATIONS	1.0	AE K Y AH Z EY SH AH N Z
ACCUSATIONS(2)	1.0	AE K Y UW Z EY SH AH N Z
ACCUSE	1.0	AH K Y UW Z
ACCUSED	1.0	AH K Y UW Z D
ACCUSER	1.0	AH K Y UW Z ER
ACCUSERS	1.0	AH K Y UW Z ER Z
ACCUSES	1.0	AH K Y UW Z IH Z
ACCUSING	1.0	AH K Y UW Z IH NG
ACCUSTOM	1.0	AH K AH S T AH M
ACCUSTOMED	1.0	AH K AH S T AH M D
ACE	1.0	EY S
ACEPHALA	1.0	AH S EH F AH L AH
ACERBITIES	1.0	EY S ER B IY AH T IY Z
ACES	1.0	EY S IH Z
ACHE	1.0	EY K
ACHED	1.0	EY K T
ACHES	1.0	EY K S
ACHIEVE	1.0	AH CH IY V
ACHIEVED	1.0	AH CH IY V D
ACHIEVEMENT	1.0	AH CH IY V M AH N T
ACHIEVEMENTS	1.0	AH CH IY V M AH N T S
ACHIEVING	1.0	AH CH IY V IH NG
ACHILLES	1.0	AH K IH L IY Z
ACHING	1.0	EY K IH NG
ACHIOR	1.0	EY K IY ER
ACID	1.0	AE S AH D
ACIDS	1.0	AE S AH D Z
ACIDULATED	1.0	AH S IH D Y AH L EY T AH D
ACKNOWLEDG'D	1.0	AE K N OW L AH JH D
ACKNOWLEDGE	1.0	AE K N AA L IH JH
ACKNOWLEDGED	1.0	AE K N AA L IH JH D
ACKNOWLEDGEMENT	1.0	AE K N AA L IH JH M AH N T
ACKNOWLEDGING	1.0	AE K N AA L IH JH IH NG
ACKNOWLEDGMENT	1.0	AE K N AA L IH JH M AH N T
ACKNOWLEDGMENTS	1.0	AE K N AA L IH JH M AH N T S
ACME	1.0	AE K M IY
ACONE	1.0	AH K OW N
ACORN	1.0	EY K AO R N
ACORNS	1.0	EY K AO R N Z
ACQUAINT	1.0	AH K W EY N T
ACQUAINTANCE	1.0	AH K W EY N T AH N S
ACQUAINTANCES	1.0	AH K W EY N T AH N S IH Z
ACQUAINTANCESHIP	1.0	AH K W EY N T AH N S SH IH P
ACQUAINTED	1.0	AH K W EY N T IH D
ACQUAINTED(2)	1.0	AH K W EY N IH D
ACQUAINTING	1.0	AH K W EY N T IH NG
ACQUASPARTA	1.0	AE K W AH S AA R T AH
ACQUIESCE	1.0	AE K W IY EH S
ACQUIESCED	1.0	AE K W IY EH S T
ACQUIESCENCE	1.0	AE K W IY EH S AH N S
ACQUIESCING	1.0	AE K W IY EH S IH NG
ACQUIR'D	1.0	AE K W AH R D
ACQUIRE	1.0	AH K W AY ER
ACQUIRED	1.0	AH K W AY ER D
ACQUIREMENT	1.0	AH K W AY ER M AH N T
ACQUIRES	1.0	AH K W AY ER Z
ACQUIRING	1.0	AH K W AY R IH NG
ACQUIRING(2)	1.0	AH K W AY ER IH NG
ACQUISITION	1.0	AE K W AH Z IH SH AH N
ACQUISITIONS	1.0	AE K W AH Z IH SH AH N Z
ACQUITTAL	1.0	AH K W IH T AH L
ACQUITTED	1.0	AH K W IH T IH D
ACRE	1.0	EY K ER
ACRES	1.0	EY K ER Z
ACRID	1.0	AE K R IH D
ACRIMONY	1.0	AE K R IH M OW N IY
ACROBAT	1.0	AE K R AH B AE T
ACROBATIC	1.0	AE K R AH B AE T IH K
ACROPOLIS	1.0	AH K R AA P AH L AH S
ACROSS	1.0	AH K R AO S
ACROSTICS	1.0	AE K R AA S T AH S Z
ACT	1.0	AE K T
ACTE	1.0	AE K T
ACTED	1.0	AE K T IH D
ACTING	1.0	AE K T IH NG
ACTION	1.0	AE K SH AH N
ACTIONS	1.0	AE K SH AH N Z
ACTIVATED	1.0	AE K T IH V EY T IH D
ACTIVE	1.0	AE K T IH V
ACTIVELY	1.0	AE K T IH V L IY
ACTIVITIES	1.0	AE K T IH V IH T IY Z
ACTIVITY	1.0	AE K T IH V IH T IY
ACTOR	1.0	AE K T ER
ACTORS	1.0	AE K T ER Z
ACTRESS	1.0	AE K T R AH S
ACTRESSES	1.0	AE K T R AH S IH Z
ACTS	1.0	AE K T S
ACTS(2)	1.0	AE K S
ACTUAL	1.0	AE K CH AH W AH L
ACTUAL(2)	1.0	AE K SH AH L
ACTUALITY	1.0	AE K CH UW AE L AH T IY
ACTUALLY	1.0	AE K CH UW AH L IY
ACTUALLY(2)	1.0	AE K CH L IY
ACTUALLY(3)	1.0	AE K SH AH L IY
ACTUATED	1.0	AE K CH AH W EY T IH D
ACUMEN	1.0	AH K Y UW M AH N
ACUPUNCTURE	1.0	AE K Y UW P AH NG K CH ER
ACUTE	1.0	AH K Y UW T
ACUTELY	1.0	AH K Y UW T L IY
ACUTENESS	1.0	AH K Y UW T N AH S
ACUTEST	1.0	AH K Y UW T AH S T
ACY	1.0	EY S IY
AD	1.0	AE D
ADAD	1.0	AH D AE D
ADAGE	1.0	AE D AH JH
ADAM	1.0	AE D AH M
ADAM'S	1.0	AE D AH M Z
ADAMANTINE	1.0	AH D AE M AH N T AY N
ADAMITE	1.0	AE D AH M AY T
ADAMS	1.0	AE D AH M Z
ADAPT	1.0	AH D AE P T
ADAPTABILITY	1.0	AH D AE P T AH B IH L AH T IY
ADAPTABLE	1.0	AH D AE P T AH B AH L
ADAPTATION	1.0	AE D AH P T EY SH AH N
ADAPTED	1.0	AH D AE P T IH D
ADAPTING	1.0	AH D AE P T IH NG
ADD	1.0	AE D
ADDED	1.0	AE D IH D
ADDER	1.0	AE D ER
ADDERS	1.0	AE D ER Z
ADDICEHEAD	1.0	AE D AY S HH EH D
ADDICTED	1.0	AH D IH K T IH D
ADDING	1.0	AE D IH NG
ADDISON	1.0	AE D IH S AH N
ADDITION	1.0	AH D IH SH AH N
ADDITIONAL	1.0	AH D IH SH AH N AH L
ADDITIONS	1.0	AH D IH SH AH N Z
ADDLE	1.0	AE D AH L
ADDLED	1.0	AE D AH L D
ADDLEPATED	1.0	AE D L AH P EY T AH D
ADDRESS	1.0	AE D R EH S
ADDRESSED	1.0	AH D R EH S T
ADDRESSER	1.0	AH D R EH S ER
ADDRESSES	1.0	AE D R EH S IH Z
ADDRESSING	1.0	AE D R EH S IH NG
ADDS	1.0	AE D Z
ADELA	1.0	AH D EH L AH
ADELAIDE	1.0	AE D AH L EY D
ADEPT	1.0	AH D EH P T
ADEQUATE	1.0	AE D AH K W AH T
ADEQUATE(2)	1.0	AE D AH K W EY T
ADEQUATELY	1.0	AE D AH K W IH T L IY
ADHERE	1.0	AH D HH IH R
ADHERED	1.0	AE D HH IH R D
ADHERENCE	1.0	AH D HH IH R AH N S
ADHERENTS	1.0	AE D HH IH R AH N T S
ADHERING	1.0	AH D HH IH R IH NG
ADHESIONS	1.0	AE D HH IY ZH AH N Z
ADHESIVE	1.0	AE D HH IY S IH V
ADHESIVE(2)	1.0	AH D HH IY S IH V
ADIEU	1.0	AH D UW
ADIEUS	1.0	AH D Y UW Z
ADIEUX	1.0	EY D Y UW K S
ADINI	1.0	AE D AH N IY
ADJACENT	1.0	AH JH EY S AH N T
ADJECTIVE	1.0	AE JH IH K T IH V
ADJECTIVES	1.0	AE JH IH K T IH V Z
ADJOINING	1.0	AH JH OY N IH NG
ADJOURNED	1.0	AH JH ER N D
ADJOURNMENT	1.0	AH JH ER N M AH N T
ADJUNCT	1.0	AE JH AH NG K T
ADJURATION	1.0	AE JH Y AH R EY SH AH N
ADJURE	1.0	AE JH Y AH R
ADJURED	1.0	AE JH Y AH R D
ADJUST	1.0	AH JH AH S T
ADJUSTED	1.0	AH JH AH S T IH D
ADJUSTING	1.0	AH JH AH S T IH NG
ADJUSTMENT	1.0	AH JH AH S T M AH N T
ADJUSTMENTS	1.0	AH JH AH S T M AH N T S
ADJUTANT	1.0	AE JH AH T AH N T
ADJUTANT'S	1.0	AE JH AH T AH N TS
ADMETUS	1.0	AE D M AH T AH S
ADMINISTER	1.0	AH D M IH N IH S T ER
ADMINISTERED	1.0	AH D M IH N IH S T ER D
ADMINISTERING	1.0	AE D M IH N IH S T ER IH NG
ADMINISTRATION	1.0	AE D M IH N IH S T R EY SH AH N
ADMINISTRATION'S	1.0	AE D M IH N IH S T R EY SH AH N Z
ADMINISTRATIVE	1.0	AH D M IH N IH S T R EY T IH V
ADMIRABLE	1.0	AE D M ER AH B AH L
ADMIRABLE(2)	1.0	AE D M R AH B AH L
ADMIRABLY	1.0	AE D M ER AH B L IY
ADMIRAL	1.0	AE D M ER AH L
ADMIRALS	1.0	AE D M ER AH L Z
ADMIRALTIES	1.0	AE D M AH R AH L T IY Z
ADMIRALTY	1.0	AE D M ER AH L T IY
ADMIRARI	1.0	AE D M IH R AH R IY
ADMIRATION	1.0	AE D M ER EY SH AH N
ADMIRATIONS	1.0	AE D M ER EY SH AH N Z
ADMIRE	1.0	AE D M AY R
ADMIRED	1.0	AH D M AY ER D
ADMIRER	1.0	AE D M AY R ER
ADMIRERS	1.0	AH D M AY R ER Z
ADMIRES	1.0	AE D M AY R Z
ADMIRING	1.0	AE D M AY R IH NG
ADMIRINGLY	1.0	AE D M AY R IH NG L IY
ADMISSIBLE	1.0	AH D M IH S AH B AH L
ADMISSION	1.0	AE D M IH SH AH N
ADMISSION(2)	1.0	AH D M IH SH AH N
ADMIT	1.0	AH D M IH T
ADMITS	1.0	AH D M IH T S
ADMITTANCE	1.0	AH D M IH T AH N S
ADMITTED	1.0	AH D M IH T AH D
ADMITTEDLY	1.0	AE D M IH T IH D L IY
ADMITTING	1.0	AE D M IH T IH NG
ADMITTING(2)	1.0	AH D M IH T IH NG
ADMIXTURE	1.0	AE D M IH K S T Y AH R
ADMONISH	1.0	AE D M AA N IH SH
ADMONISHED	1.0	AH D M AA N IH SH T
ADMONISHING	1.0	AE D M AA N IH SH IH NG
ADMONITION	1.0	AE D M AH N IH SH AH N
ADMONITIONS	1.0	AE D M AH N IH SH AH N Z
ADO	1.0	AH D UW
ADOBE	1.0	AH D OW B IY
ADOBES	1.0	AH D OW B IY Z
ADOLESCENCE	1.0	AE D AH L EH S AH N S
ADOLESCENCE(2)	1.0	AE D OW L EH S AH N S
ADOLPHUS	1.0	AH D AO L F AH S
ADOPT	1.0	AH D AA P T
ADOPTED	1.0	AH D AA P T AH D
ADOPTING	1.0	AH D AA P T IH NG
ADOPTION	1.0	AH D AA P SH AH N
ADOPTS	1.0	AH D AA P T S
ADORABLE	1.0	AH D AO R AH B AH L
ADORATION	1.0	AE D ER EY SH AH N
ADORE	1.0	AH D AO R
ADORED	1.0	AH D AO R D
ADORES	1.0	AH D AO R Z
ADORING	1.0	AH D AO R IH NG
ADORN	1.0	AH D AO R N
ADORNED	1.0	AH D AO R N D
ADORNING	1.0	AH D AO R N IH NG
ADORNMENT	1.0	AH D AO R N M AH N T
ADRAMMYTIUM	1.0	AE D R AH M IH T IY AH M
ADRIAN	1.0	EY D R IY AH N
ADRIFT	1.0	AH D R IH F T
ADROIT	1.0	AH D R OY T
ADROITNESS	1.0	AH D R OY T N AH S
ADS	1.0	AE D Z
ADULATOR	1.0	AE D Y AH L EY T AH R
ADULT	1.0	AH D AH L T
ADULT(2)	1.0	AE D AH L T
ADULTERATE	1.0	AH D AH L T ER EY T
ADULTERATED	1.0	AH D AH L T ER EY T IH D
ADULTEROUS	1.0	AH D AH L T ER AH S
ADULTS	1.0	AH D AH L T S
ADULTS(2)	1.0	AE D AH L T S
ADVANC'D	1.0	AE D AH NG K D
ADVANCE	1.0	AH D V AE N S
ADVANCED	1.0	AH D V AE N S T
ADVANCEMENT	1.0	AH D V AE N S M AH N T
ADVANCES	1.0	AH D V AE N S IH Z
ADVANCING	1.0	AH D V AE N S IH NG
ADVANTAGE	1.0	AE D V AE N T IH JH
ADVANTAGEOUS	1.0	AE D V AH N T EY JH AH S
ADVANTAGES	1.0	AE D V AE N T IH JH IH Z
ADVENT	1.0	AE D V EH N T
ADVENTITIOUS	1.0	AE D V AH N T IH SH AH S
ADVENTURE	1.0	AE D V EH N CH ER
ADVENTURE(2)	1.0	AH D V EH N CH ER
ADVENTURER	1.0	AE D V EH N CH ER ER
ADVENTURER(2)	1.0	AH D V EH N CH ER ER
ADVENTURERS	1.0	AE D V EH N CH ER ER Z
ADVENTURERS(2)	1.0	AH D V EH N CH ER ER Z
ADVENTURES	1.0	AE D V EH N CH ER Z
ADVENTURESS	1.0	AH D V EH N CH ER AH S
ADVENTURESSES	1.0	AH D V EH N CH ER AH S IH Z
ADVENTURING	1.0	AH D V EH N CH ER IH NG
ADVENTUROUS	1.0	AE D V EH N CH ER AH S
ADVERSARIES	1.0	AE D V ER S EH R IY Z
ADVERSARY	1.0	AE D V ER S EH R IY
ADVERSARY'S	1.0	AE D V ER S EH R IY Z
ADVERSE	1.0	AE D V ER S
ADVERSELY	1.0	AE D V ER S L IY
ADVERSITY	1.0	AE D V ER S IH T IY
ADVERTISE	1.0	AE D V ER T AY Z
ADVERTISED	1.0	AE D V ER T AY Z D
ADVERTISEMENT	1.0	AE D V ER T AH Z M AH N T
ADVERTISEMENT(2)	1.0	AE D V ER T AY Z M AH N T
ADVERTISEMENTS	1.0	AE D V ER T AY Z M AH N T S
ADVERTISER	1.0	AE D V ER T AY Z ER
ADVERTISERS	1.0	AE D V ER T AY Z ER Z
ADVERTISING	1.0	AE D V ER T AY Z IH NG
ADVICE	1.0	AE D V AY S
ADVICE(2)	1.0	AH D V AY S
ADVISABLE	1.0	AH D V AY Z AH B AH L
ADVISE	1.0	AE D V AY Z
ADVISE(2)	1.0	AH D V AY Z
ADVISED	1.0	AE D V AY Z D
ADVISED(2)	1.0	AH D V AY Z D
ADVISEDLY	1.0	AE D V AY Z AH D L IY
ADVISEDLY(2)	1.0	AH D V AY Z AH D L IY
ADVISEMENT	1.0	AH D V AY Z M AH N T
ADVISER	1.0	AE D V AY Z ER
ADVISERS	1.0	AE D V AY Z ER Z
ADVISES	1.0	AE D V AY Z IH Z
ADVISING	1.0	AE D V AY Z IH NG
ADVOCACY	1.0	AE D V AH K AH S IY
ADVOCATE	1.0	AE D V AH K AH T
ADVOCATE(2)	1.0	AE D V AH K EY T
ADVOCATED	1.0	AE D V AH K EY T IH D
ADVOCATES	1.0	AE D V AH K AH T S
ADVOCATES(2)	1.0	AE D V AH K EY T S
ADZUMA	1.0	AE D Z UW M AH
AEDIFICATUM	1.0	EH D AH F IH K AH T AH M
AEGINA	1.0	EH JH AH N AH
AEOLIAN	1.0	EH OW L IY AH N
AERA	1.0	AH IH R AH
AERIAL	1.0	EH R IY AH L
AERONAUTICAL	1.0	EH R OW N AA T AH K AH L
AERONAUTICAL(2)	1.0	EH R AH N AA T AH K AH L
AEROPLANE	1.0	EH R AH P L EY N
AEROPLANES	1.0	EH R AH P L EY N Z
AESCULAPIUS	1.0	EH S Y AH L AE P AY AH S
AESTHETIC	1.0	EH S TH EH T IH K
AESTHETICALLY	1.0	EH S TH EH T IH K L IY
AETEOLOGIZED	1.0	AH T IY AA L AH JH AY Z D
AETIUS	1.0	EH T AY AH S
AFAR	1.0	AH F AA R
AFEAR'D	1.0	AH F IH ER D
AFECKSIONATE	1.0	AH F EH K S IY AH N EY T
AFFABILITY	1.0	AE F AH B IH L AH T EH
AFFABLE	1.0	AE F AH B AH L
